Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 02  Locations: User Defined 
                                                                                     
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 731 

 River            Reach            River Sta        Profile            Q Total 
                                                                        (m3/s) 
                                                                                     
 1                1                159930.*         20APR2011 0000    21215.31 
 1                1                159930.*         20APR2011 1200    21164.33 
 1                1                159930.*         21APR2011 0000    21137.62 
 1                1                159930.*         21APR2011 1200    21132.32 
 1                1                159930.*         22APR2011 0000    21143.21 
 1                1                159930.*         22APR2011 1200    21170.61 
 1                1                159930.*         23APR2011 0000    21219.26 
 1                1                159930.*         23APR2011 1200    21288.14 
 1                1                159930.*         24APR2011 0000    21365.67 
 1                1                159930.*         24APR2011 1200    21440.21 
 1                1                159930.*         25APR2011 0000    21524.86 
 1                1                159930.*         25APR2011 1200    21635.78 
 1                1                159930.*         26APR2011 0000    21783.73 
 1                1                159930.*         26APR2011 1200    21963.52 
 1                1                159930.*         27APR2011 0000    22161.12 
 1                1                159930.*         27APR2011 1200    22380.95 
 1                1                159930.*         28APR2011 0000    22610.05 
 1                1                159930.*         28APR2011 1200    22827.61 
 1                1                159930.*         29APR2011 0000    23050.45 
 1                1                159930.*         29APR2011 1200    23293.62 
 1                1                159930.*         30APR2011 0000    23553.70 
 1                1                159930.*         30APR2011 1200    23833.56 
 1                1                159930.*         01MAY2011 0000    24157.49 
 1                1                159930.*         01MAY2011 1200    24534.32 
 1                1                159930.*         02MAY2011 0000    24975.18 
 1                1                159930.*         02MAY2011 1200    25487.37 
 1                1                159930.*         03MAY2011 0000    26071.07 
 1                1                159930.*         03MAY2011 1200    26726.88 
 1                1                159930.*         04MAY2011 0000    27376.88 
 1                1                159930.*         04MAY2011 1200    27973.29 
 1                1                159930.*         05MAY2011 0000    28558.81 
 1                1                159930.*         05MAY2011 1200    29155.96 
 1                1                159930.*         06MAY2011 0000    29734.16 
 1                1                159930.*         06MAY2011 1200    30288.52 
 1                1                159930.*         07MAY2011 0000    30847.78 
 1                1                159930.*         07MAY2011 1200    31430.09 
 1                1                159930.*         08MAY2011 0000    32060.98 
 1                1                159930.*         08MAY2011 1200    32618.57 
 1                1                159930.*         09MAY2011 0000    33157.10 
 1                1                159930.*         09MAY2011 1200    33697.19 
 1                1                159930.*         10MAY2011 0000    34165.95 
 1                1                159930.*         10MAY2011 1200    34542.59 
 1                1                159930.*         11MAY2011 0000    34835.38 
 1                1                159930.*         11MAY2011 1200    34895.59 
 1                1                159930.*         12MAY2011 0000    34783.03 
 1                1                159930.*         12MAY2011 1200    34533.55 
 1                1                159930.*         13MAY2011 0000    34171.32 
 1                1                159930.*         13MAY2011 1200    34007.91 
 1                1                159930.*         14MAY2011 0000    33920.95 
 1                1                159930.*         14MAY2011 1200    33702.09 
 1                1                159930.*         15MAY2011 0000    33275.46 
 1                1                159930.*         15MAY2011 1200    32725.72 
 1                1                159930.*         16MAY2011 0000    32065.97 
 1                1                159930.*         16MAY2011 1200    31406.67 
 1                1                159930.*         17MAY2011 0000    30890.22 
 1                1                159930.*         17MAY2011 1200    30555.07 
 1                1                159930.*         18MAY2011 0000    30370.78 
 1                1                159930.*         18MAY2011 1200    30259.58 
 1                1                159930.*         19MAY2011 0000    30332.01 
 1                1                159930.*         19MAY2011 1200    30653.72 
 1                1                159930.*         20MAY2011 0000    31015.30 
 1                1                159930.*         20MAY2011 1200    31269.81 
 1                1                159930.*         21MAY2011 0000    31438.81 
 1                1                159930.*         21MAY2011 1200    31568.04 
 1                1                159930.*         22MAY2011 0000    31655.52 
 1                1                159930.*         22MAY2011 1200    31727.89 
 1                1                159930.*         23MAY2011 0000    31759.32 
 1                1                159930.*         23MAY2011 1200    31788.15 
 1                1                159930.*         24MAY2011 0000    31836.32 
 1                1                159930.*         24MAY2011 1200    31815.22 
 1                1                159930.*         25MAY2011 0000    31752.50 
 1                1                159930.*         25MAY2011 1200    31759.98 
 1                1                159930.*         26MAY2011 0000    31828.11 
 1                1                159930.*         26MAY2011 1200    31864.46 
 1                1                159930.*         27MAY2011 0000    31877.32 
 1                1                159930.*         27MAY2011 1200    31897.65 
 1                1                159930.*         28MAY2011 0000    31911.47 
 1                1                159930.*         28MAY2011 1200    31994.87 
 1                1                159930.*         29MAY2011 0000    32076.45 
 1                1                159930.*         29MAY2011 1200    32001.75 
 1                1                159930.*         30MAY2011 0000    31854.47 
 1                1                159930.*         30MAY2011 1200    31735.34 
 1                1                159930.*         31MAY2011 0000    31623.63 
 1                1                159930.*         31MAY2011 1200    31500.76 
 1                1                159930.*         01JUN2011 0000    31401.09 
 1                1                159930.*         01JUN2011 1200    31328.91 
 1                1                159930.*         02JUN2011 0000    31267.86 
 1                1                159930.*         02JUN2011 1200    31222.15 
 1                1                159930.*         03JUN2011 0000    31186.11 
 1                1                159930.*         03JUN2011 1200    31206.64 
 1                1                159930.*         04JUN2011 0000    31244.02 
 1                1                159930.*         04JUN2011 1200    31273.69 
 1                1                159930.*         05JUN2011 0000    31313.70 
 1                1                159930.*         05JUN2011 1200    31366.09 
 1                1                159930.*         06JUN2011 0000    31382.94 
 1                1                159930.*         06JUN2011 1200    31336.55 
 1                1                159930.*         07JUN2011 0000    31265.54 
 1                1                159930.*         07JUN2011 1200    31203.38 
 1                1                159930.*         08JUN2011 0000    31119.71 
 1                1                159930.*         08JUN2011 1200    30979.96 
 1                1                159930.*         09JUN2011 0000    30825.04 
 1                1                159930.*         09JUN2011 1200    30677.93 
 1                1                159930.*         10JUN2011 0000    30521.96 
 1                1                159930.*         10JUN2011 1200    30364.92 
 1                1                159930.*         11JUN2011 0000    30209.09 
 1                1                159930.*         11JUN2011 1200    30046.16 
 1                1                159930.*         12JUN2011 0000    29836.84 
 1                1                159930.*         12JUN2011 1200    29572.90 
 1                1                159930.*         13JUN2011 0000    29254.28 
 1                1                159930.*         13JUN2011 1200    28947.86 
 1                1                159930.*         14JUN2011 0000    28715.66 
 1                1                159930.*         14JUN2011 1200    28551.71 
 1                1                159930.*         15JUN2011 0000    28424.28 
 1                1                159930.*         15JUN2011 1200    28302.70 
 1                1                159930.*         16JUN2011 0000    28232.44 
 1                1                159930.*         16JUN2011 1200    28210.97 
 1                1                159930.*         17JUN2011 0000    28122.91 
 1                1                159930.*         17JUN2011 1200    28018.17 
 1                1                159930.*         18JUN2011 0000    27960.79 
 1                1                159930.*         18JUN2011 1200    27782.36 
 1                1                159930.*         19JUN2011 0000    27511.57 
 1                1                159930.*         19JUN2011 1200    27220.70 
 1                1                159930.*         20JUN2011 0000    26905.11 
 1                1                159930.*         20JUN2011 1200    26569.21 
 1                1                159930.*         21JUN2011 0000    26223.08 
 1                1                159930.*         21JUN2011 1200    25863.10 
 1                1                159930.*         22JUN2011 0000    25452.98 
 1                1                159930.*         22JUN2011 1200    24989.75 
 1                1                159930.*         23JUN2011 0000    24513.92 
 1                1                159930.*         23JUN2011 1200    24037.07 
 1                1                159930.*         24JUN2011 0000    23571.82 
 1                1                159930.*         24JUN2011 1200    23127.75 
 1                1                159930.*         25JUN2011 0000    22699.42 
 1                1                159930.*         25JUN2011 1200    22285.38 
 1                1                159930.*         26JUN2011 0000    21878.92 
 1                1                159930.*         26JUN2011 1200    21478.66 
 1                1                159930.*         27JUN2011 0000    21080.63 
