Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
306	02Nov2011 2400	15.77	7226.07
307	03Nov2011 2400	15.84	7318.52
308	04Nov2011 2400	15.87	7362.63
309	05Nov2011 2400	15.89	7392.84
310	06Nov2011 2400	15.92	7434.76
311	07Nov2011 2400	15.97	7493.20
312	08Nov2011 2400	16.03	7577.21
313	09Nov2011 2400	16.08	7654.98
314	10Nov2011 2400	16.12	7707.35
315	11Nov2011 2400	16.14	7741.36
316	12Nov2011 2400	16.18	7797.39
317	13Nov2011 2400	16.22	7859.04
318	14Nov2011 2400	16.24	7876.11
319	15Nov2011 2400	16.21	7844.15
320	16Nov2011 2400	16.15	7748.89
321	17Nov2011 2400	16.04	7595.45
322	18Nov2011 2400	15.94	7452.27
323	19Nov2011 2400	15.88	7378.78
324	20Nov2011 2400	15.89	7393.47
325	21Nov2011 2400	15.98	7514.07
326	22Nov2011 2400	16.14	7735.85
327	23Nov2011 2400	16.36	8052.00
328	24Nov2011 2400	16.69	8544.11
329	25Nov2011 2400	17.20	9332.99
330	26Nov2011 2400	17.85	10399.47
331	27Nov2011 2400	18.49	11514.23
332	28Nov2011 2400	19.05	12517.48
333	29Nov2011 2400	19.50	13375.86
334	30Nov2011 2400	19.87	14093.74
335	01Dec2011 2400	20.16	14676.93
336	02Dec2011 2400	20.39	15126.17
337	03Dec2011 2400	20.57	15508.96
338	04Dec2011 2400	20.77	15911.59
339	05Dec2011 2400	20.99	16378.29
340	06Dec2011 2400	21.23	16893.68
341	07Dec2011 2400	21.48	17430.13
342	08Dec2011 2400	21.73	17984.08
343	09Dec2011 2400	21.99	18540.78
344	10Dec2011 2400	22.25	19140.20
345	11Dec2011 2400	22.52	19757.36
346	12Dec2011 2400	22.78	20361.93
347	13Dec2011 2400	23.00	20873.39
348	14Dec2011 2400	23.16	21239.10
349	15Dec2011 2400	23.28	21536.63
350	16Dec2011 2400	23.39	21809.20
351	17Dec2011 2400	23.50	22071.19
352	18Dec2011 2400	23.60	22310.35
353	19Dec2011 2400	23.69	22528.47
354	20Dec2011 2400	23.80	22785.07
355	21Dec2011 2400	23.90	23034.89
356	22Dec2011 2400	23.98	23240.92
357	23Dec2011 2400	24.06	23421.80
358	24Dec2011 2400	24.13	23604.78
359	25Dec2011 2400	24.23	23857.57
360	26Dec2011 2400	24.34	24141.77
361	27Dec2011 2400	24.38	24233.97
362	28Dec2011 2400	24.33	24101.25
363	29Dec2011 2400	24.21	23810.79
364	30Dec2011 2400	24.07	23461.43
365	31Dec2011 2400	23.92	23077.56
