Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
308	04Nov2011 2400	16.31	7341.08
309	05Nov2011 2400	16.34	7378.46
310	06Nov2011 2400	16.38	7421.26
311	07Nov2011 2400	16.43	7477.64
312	08Nov2011 2400	16.50	7556.59
313	09Nov2011 2400	16.56	7632.79
314	10Nov2011 2400	16.61	7688.38
315	11Nov2011 2400	16.64	7727.23
316	12Nov2011 2400	16.69	7781.77
317	13Nov2011 2400	16.74	7841.97
318	14Nov2011 2400	16.76	7866.44
319	15Nov2011 2400	16.74	7845.89
320	16Nov2011 2400	16.68	7765.81
321	17Nov2011 2400	16.56	7629.64
322	18Nov2011 2400	16.44	7490.11
323	19Nov2011 2400	16.36	7406.11
324	20Nov2011 2400	16.36	7401.84
325	21Nov2011 2400	16.44	7497.39
326	22Nov2011 2400	16.61	7688.59
327	23Nov2011 2400	16.85	7975.81
328	24Nov2011 2400	17.22	8417.71
329	25Nov2011 2400	17.79	9129.13
330	26Nov2011 2400	18.54	10110.51
331	27Nov2011 2400	19.32	11188.10
332	28Nov2011 2400	20.03	12207.39
333	29Nov2011 2400	20.63	13104.45
334	30Nov2011 2400	21.12	13864.62
335	01Dec2011 2400	21.52	14489.94
336	02Dec2011 2400	21.82	14978.33
337	03Dec2011 2400	22.07	15387.96
338	04Dec2011 2400	22.32	15797.01
339	05Dec2011 2400	22.60	16256.23
340	06Dec2011 2400	22.90	16760.08
341	07Dec2011 2400	23.21	17289.58
342	08Dec2011 2400	23.52	17837.94
343	09Dec2011 2400	23.84	18391.76
344	10Dec2011 2400	24.17	18983.53
345	11Dec2011 2400	24.51	19595.44
346	12Dec2011 2400	24.84	20200.90
347	13Dec2011 2400	25.12	20728.81
348	14Dec2011 2400	25.33	21124.46
349	15Dec2011 2400	25.50	21444.79
350	16Dec2011 2400	25.65	21729.79
351	17Dec2011 2400	25.79	21998.97
352	18Dec2011 2400	25.92	22244.19
353	19Dec2011 2400	26.04	22468.25
354	20Dec2011 2400	26.17	22720.48
355	21Dec2011 2400	26.30	22970.08
356	22Dec2011 2400	26.41	23183.54
357	23Dec2011 2400	26.50	23371.30
358	24Dec2011 2400	26.60	23556.64
359	25Dec2011 2400	26.72	23798.30
360	26Dec2011 2400	26.86	24073.92
361	27Dec2011 2400	26.92	24194.51
362	28Dec2011 2400	26.87	24107.62
363	29Dec2011 2400	26.75	23859.93
364	30Dec2011 2400	26.59	23535.38
365	31Dec2011 2400	26.40	23167.28
