link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
2928953,2928959,39.46104,-90.938896,3.620777,0.5280369,0.06,0.12,6.034628,18.103884,1191.0,,55
2931901,2931879,39.36073,-91.00243,2.1835713,0.66002715,0.06,0.12,3.6392856,10.917857,459.0,,55
2924263,2928819,39.5078,-90.794685,3.9394777,0.5087459,0.06,0.12,6.565796,19.697388,2605.0,,55
2931999,2931985,39.322426,-91.00949,3.456108,0.5389921,0.06,0.12,5.76018,17.28054,1029.0,,55
937110044,937110061,39.513306,-90.98626,3.8049614,0.51660377,0.06,0.12,6.3416023,19.024807,1477.0,,55
2928861,2928863,39.4866,-90.81263,3.9222891,0.5097283,0.06,0.12,6.5371485,19.611446,1126.0,,55
2924181,2924221,39.524124,-90.879745,5.455054,0.4406929,0.055,0.11,9.091756,30.0,116.0,,55
2928807,2928817,39.498882,-90.78213,6.4996095,0.40791318,0.055,0.11,10.832683,32.498047,253.0,,55
2931713,2931699,39.40906,-91.02357,7.2680097,0.3882918,0.055,0.11,12.113349,50.0,471.0,,55
2931667,2931661,39.430943,-91.06483,6.751643,0.40112385,0.055,0.11,11.252739,33.758217,1067.0,,55
2930373,2928877,39.47257,-90.750046,9.230136,0.34943578,0.055,0.11,15.38356,50.0,1974.0,,55
2927113,2931619,39.506195,-91.02454,2.501827,0.62157387,0.06,0.12,4.1697116,12.509134,1863.0,,55
2924247,2924371,39.509727,-90.99709,15.521772,0.27783,0.05,0.1,25.869621,77.608864,624.0,,55
4869883,4869809,39.475132,-91.07815,30.401201,0.20652753,0.05,0.1,50.66867,152.00601,1749.0,,55
2932165,2932209,39.479534,-91.06202,112.84483,0.11579447,0.045,0.09,188.07472,564.2241,196.0,,55
2932211,2938517,39.476444,-91.065994,0.95163107,0.9521242,0.06,0.12,1.5860517,4.7581553,565.0,,55
2932223,4869809,39.472317,-91.06964,3.6832218,0.5240685,0.055,0.11,6.1387033,30.0,70.0,,55
2924175,2924181,39.531494,-90.86392,2.2832105,0.6471611,0.06,0.12,3.805351,11.416053,3564.0,,56
2928837,2928861,39.489162,-90.82946,1.6798263,0.7409913,0.06,0.12,2.7997105,8.399132,2270.0,,56
2928895,2930373,39.473812,-90.73401,1.4177476,0.79856926,0.06,0.12,2.3629127,7.088738,1901.0,,56
2928931,2928953,39.477886,-90.941795,2.695295,0.6014798,0.06,0.12,4.492159,13.476476,2701.0,,56
2931751,2931713,39.40249,-91.02262,1.2843428,0.83415544,0.06,0.12,2.1405714,6.421714,1383.0,,56
2931907,2931901,39.358032,-91.00168,1.0887233,0.8972373,0.06,0.12,1.814539,5.443617,413.0,,56
2931979,2931981,39.333546,-91.0205,2.2869859,0.6466896,0.06,0.12,3.811643,11.434929,3078.0,,56
2931987,2931981,39.325714,-91.022865,1.9150469,0.6993644,0.06,0.12,3.1917448,9.575234,2839.0,,56
2932005,2931999,39.320232,-91.02725,1.6859789,0.7397971,0.06,0.12,2.809965,8.429894,2531.0,,56
2924207,2924263,39.518784,-90.80861,2.134039,0.6667425,0.06,0.12,3.5567315,10.670195,1170.0,,56
2927105,2927113,39.51199,-91.04069,1.7990386,0.71891344,0.06,0.12,2.9983976,8.995193,1482.0,,56
2928929,2928953,39.46679,-90.930664,2.894648,0.5828399,0.06,0.12,4.8244133,14.47324,1289.0,,56
2930487,2928951,39.465286,-90.9582,1.4890665,0.78146374,0.06,0.12,2.4817774,7.4453325,176.0,,56
2930863,2928805,39.500057,-90.77237,1.0273083,0.9205181,0.06,0.12,1.7121805,5.1365414,153.0,,56
2931669,2931667,39.433037,-91.07765,2.4135027,0.6315086,0.06,0.12,4.0225043,12.067513,1972.0,,56
2931911,2931901,39.357277,-91.00462,2.0018706,0.6858166,0.06,0.12,3.3364513,10.009354,460.0,,56
2924205,2924263,39.525467,-90.80333,3.2974586,0.5502828,0.06,0.12,5.4957643,16.487293,2356.0,,56
2932013,2931999,39.316532,-91.016266,3.2610383,0.5529857,0.06,0.12,5.435064,16.305191,1030.0,,56
4869793,4869883,39.481285,-91.08466,2.766477,0.59460235,0.06,0.12,4.610795,13.832385,74.0,,56
2924209,937110044,39.525257,-90.97912,3.7618358,0.51920825,0.06,0.12,6.2697263,18.80918,1741.0,,56
2928831,2928861,39.494137,-90.821625,3.7300174,0.5211576,0.06,0.12,6.216696,18.650087,1325.0,,56
2924177,2924181,39.52987,-90.88437,5.307035,0.44607392,0.055,0.11,8.845058,30.0,1618.0,,56
2924261,2928807,39.504047,-90.78057,6.497624,0.40796816,0.055,0.11,10.829373,32.488117,933.0,,56
2931721,2931713,39.407413,-91.02617,0.26140678,1.6836839,0.06,0.12,0.43567798,1.3070339,151.0,,56
2931717,2931713,39.40879,-91.02685,7.249669,0.38872486,0.055,0.11,12.082782,50.0,374.0,,56
2931671,2931667,39.42763,-91.06957,6.6098814,0.40489677,0.055,0.11,11.016469,33.049404,111.0,,56
2928911,2930373,39.468067,-90.73758,9.14825,0.35081226,0.055,0.11,15.247082,50.0,659.0,,56
2927103,2927113,39.515373,-91.03251,1.0926896,0.895799,0.06,0.12,1.8211493,5.463448,1156.0,,56
2927101,2924247,39.512318,-91.01195,15.518022,0.27785966,0.05,0.1,25.863369,77.59011,2091.0,,56
4869791,4869883,39.48227,-91.08798,30.390913,0.20655838,0.05,0.1,50.65152,151.95456,672.0,,56
2932231,2932165,39.48366,-91.0622,112.84481,0.11579449,0.045,0.09,188.07468,564.22406,729.0,,56
2932163,2932165,39.480614,-91.06453,0.7221187,1.0754074,0.06,0.12,1.203531,3.6105933,458.0,,56
2931647,2932211,39.4796,-91.0664,0.57739973,1.1869308,0.06,0.12,0.9623329,2.8869987,140.0,,56
2932221,2932223,39.47462,-91.070465,3.6822503,0.5241295,0.055,0.11,6.1370835,30.0,473.0,,56
2924139,2924205,39.536236,-90.80153,1.6469615,0.7474787,0.06,0.12,2.7449358,8.234807,158.0,,57
2924151,2924177,39.535603,-90.90503,2.3708458,0.63649637,0.06,0.12,3.9514096,11.854229,2490.0,,57
2924169,2924209,39.53458,-90.97137,1.4868962,0.78196675,0.06,0.12,2.4781601,7.4344807,1877.0,,57
2924185,2924207,39.52308,-90.82045,1.841021,0.71163416,0.06,0.12,3.0683682,9.205105,1391.0,,57
2924229,2924261,39.51646,-90.785576,1.9290442,0.697121,0.06,0.12,3.2150738,9.645221,2827.0,,57
2927091,2927105,39.518414,-91.041145,1.4508443,0.7904805,0.06,0.12,2.418074,7.2542214,1249.0,,57
2928803,2930863,39.499672,-90.77046,0.8731516,0.9889727,0.06,0.12,1.4552526,4.365758,199.0,,57
2928909,2928911,39.473988,-90.72331,1.8751464,0.7058912,0.06,0.12,3.125244,9.375732,2780.0,,57
2928925,2928929,39.480667,-90.9217,2.0021148,0.6857797,0.06,0.12,3.3368578,10.010573,3114.0,,57
2928927,2928929,39.467197,-90.91229,1.6715541,0.7426069,0.06,0.12,2.7859235,8.357771,2084.0,,57
2928933,2930487,39.46816,-90.96325,1.4453533,0.791804,0.06,0.12,2.4089222,7.2267666,1114.0,,57
2931659,2931669,39.44288,-91.089424,1.4081489,0.8009662,0.06,0.12,2.3469148,7.0407443,1755.0,,57
2931663,2931669,39.435783,-91.096756,1.9387003,0.6955871,0.06,0.12,3.231167,9.693501,2099.0,,57
