link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
2929689,2929741,39.19631,-90.76313,2.9649062,0.5767058,0.06,0.12,4.94151,14.824532,438.0,,55
2930021,2931075,39.11106,-90.70671,1.6405212,0.7487719,0.06,0.12,2.734202,8.202605,1304.0,,55
3600164,3600194,39.359932,-90.54279,2.1804745,0.6604405,0.06,0.12,3.6341243,10.902373,1026.0,,55
3600166,3600194,39.36103,-90.54364,0.9628726,0.94720393,0.06,0.12,1.6047877,4.814363,1220.0,,55
3601914,3601746,38.996056,-90.40177,1.7108264,0.7350375,0.06,0.12,2.8513772,8.5541315,289.0,,55
5915381,5915429,39.22179,-90.43555,2.9783952,0.57555205,0.06,0.12,4.963992,14.891976,3578.0,,55
5915391,5915437,39.213722,-90.45313,1.9900894,0.6876048,0.06,0.12,3.3168159,10.0,1514.0,,55
5915441,5915443,39.201885,-90.42472,2.6266167,0.6083682,0.06,0.12,4.3776946,13.133083,2652.0,,55
2510987,2510997,38.988213,-90.95143,3.0034695,0.57342726,0.06,0.12,5.0057826,15.017347,1355.0,,55
3600092,3600106,39.373222,-90.68199,2.8204122,0.58955884,0.06,0.12,4.700687,14.10206,1918.0,,55
2511009,2510997,38.973167,-90.96199,2.7802162,0.5933042,0.06,0.12,4.6336937,13.901081,4209.0,,55
2931073,2931065,39.126312,-90.68179,0.7002882,1.0900707,0.06,0.12,1.1671469,3.501441,636.0,,55
3599916,3601042,39.40016,-90.63184,4.2511654,0.4919393,0.055,0.11,7.0852757,30.0,3202.0,,55
2929877,2929855,39.148804,-90.80936,2.3891602,0.6343392,0.06,0.12,3.9819336,11.945801,506.0,,55
3600048,3600070,39.375896,-90.52148,3.458136,0.53885263,0.055,0.11,5.7635603,30.0,164.0,,55
3599938,3599942,39.39591,-90.60334,5.4970613,0.43920398,0.055,0.11,9.161769,50.0,421.0,,55
5915481,5915443,39.19483,-90.43079,4.835746,0.46475628,0.055,0.11,8.059576,30.0,1373.0,,55
2929743,2929741,39.190502,-90.76883,5.0704503,0.4551395,0.055,0.11,8.45075,30.0,1931.0,,55
937110086,2931065,39.129635,-90.68415,4.1143417,0.49909082,0.055,0.11,6.857236,30.0,212.0,,55
2511289,2511283,38.857296,-90.99825,5.713933,0.43177003,0.055,0.11,9.523222,30.0,414.0,,55
2929857,2929855,39.151207,-90.81066,4.4725127,0.48104578,0.055,0.11,7.454188,30.0,214.0,,55
2511157,2511189,38.905952,-90.99428,9.350997,0.34743598,0.055,0.11,15.584995,50.0,1297.0,,55
3600932,3600078,39.368076,-90.50486,15.408821,0.27872667,0.05,0.1,25.681368,77.044106,1747.0,,55
5915379,5915429,39.21331,-90.424805,20.313316,0.24673589,0.05,0.1,33.85553,101.56659,1070.0,,55
2510991,2510993,38.979847,-90.94082,20.976568,0.24326316,0.05,0.1,34.960945,104.88284,2410.0,,55
3601038,3601040,39.40769,-90.61799,2.7442942,0.596718,0.06,0.12,4.5738235,13.721471,680.0,,55
3607060,3599874,39.409496,-90.61445,1.464,0.78733873,0.06,0.12,2.44,7.32,135.0,,55
3601036,3601040,39.407135,-90.61544,65.008095,0.14769164,0.045,0.09,108.34682,325.04047,391.0,,55
2930639,2938505,39.165462,-90.71003,113.941826,0.1153013,0.045,0.09,189.90305,569.7091,3622.0,,55
2930641,2938505,39.149536,-90.71374,3.74592,0.52018034,0.06,0.12,6.2432,18.729599,448.0,,55
2930931,2930935,39.14045,-90.698845,0.68885934,1.0980129,0.06,0.12,1.148099,3.4442968,501.0,,55
2930831,2930829,39.130306,-90.71178,1.2566179,0.8422254,0.06,0.12,2.0943632,6.2830896,753.0,,55
2930933,2930935,39.138355,-90.6989,1.0246284,0.92157954,0.06,0.12,1.707714,5.1231422,96.0,,55
2930833,2930829,39.130432,-90.70886,1.8180608,0.7155852,0.06,0.12,3.0301013,9.090303,317.0,,55
2929961,2929959,39.123367,-90.702156,0.81302154,1.0205994,0.06,0.12,1.3550359,4.065108,392.0,,55
2930817,2930683,39.11831,-90.67545,0.29510972,1.595972,0.06,0.12,0.49184954,1.4755486,30.0,,55
2930819,2930683,39.11832,-90.67532,1.1771085,0.8668658,0.06,0.12,1.9618477,5.885543,24.0,,55
2510981,2510987,38.99448,-90.96954,1.9724108,0.690317,0.06,0.12,3.2873511,9.862054,2474.0,,56
2512391,2511285,38.865925,-91.00232,1.1811996,0.86553997,0.06,0.12,1.968666,5.9059978,1080.0,,56
2929685,2929689,39.20347,-90.760506,2.1149037,0.66939723,0.06,0.12,3.5248394,10.574518,1613.0,,56
2929687,2929689,39.208347,-90.75027,2.4905372,0.6228153,0.06,0.12,4.1508956,12.452686,3840.0,,56
2929853,2929857,39.157974,-90.81767,1.4724149,0.78535044,0.06,0.12,2.4540248,7.3620744,1924.0,,56
2929943,2929877,39.138805,-90.81399,1.4959707,0.7798705,0.06,0.12,2.4932847,7.4798536,2161.0,,56
2929993,2930021,39.12042,-90.706436,1.1219596,0.8854126,0.06,0.12,1.8699325,5.6097975,848.0,,56
3600038,3600092,39.38471,-90.69765,1.889994,0.7034393,0.06,0.12,3.14999,9.44997,2310.0,,56
3600042,3600048,39.387184,-90.52482,1.802635,0.7182803,0.06,0.12,3.0043917,9.013175,2630.0,,56
3600220,3600164,39.349808,-90.52719,2.1027713,0.6710984,0.06,0.12,3.504619,10.513856,3339.0,,56
3601762,3601914,38.99074,-90.400764,1.4095968,0.80060315,0.06,0.12,2.349328,7.047984,852.0,,56
5915231,5915381,39.235973,-90.4676,2.2070353,0.65692216,0.06,0.12,3.6783922,11.035176,3821.0,,56
5915245,5915381,39.23161,-90.46856,1.9640882,0.691606,0.06,0.12,3.2734802,9.82044,3657.0,,56
5915307,5915391,39.22174,-90.464455,1.3780588,0.80863553,0.06,0.12,2.2967646,6.8902936,1428.0,,56
5915315,5915391,39.220028,-90.4683,1.4191766,0.7982144,0.06,0.12,2.3652942,7.095883,2104.0,,56
5915507,5915441,39.194725,-90.400635,2.2052164,0.6571611,0.06,0.12,3.6753607,11.026082,3064.0,,56
2510983,2510987,38.99009,-90.96215,2.5554793,0.6157824,0.06,0.12,4.259132,12.777396,808.0,,56
3599914,3599916,39.39893,-90.65852,3.324475,0.5483054,0.06,0.12,5.540792,16.622375,1895.0,,56
3600046,3600092,39.379658,-90.69642,1.9873705,0.6880197,0.06,0.12,3.312284,9.936852,1518.0,,56
3601244,3601038,39.41102,-90.61921,2.5307884,0.6184256,0.06,0.12,4.217981,12.653942,80.0,,56
5915505,5915481,39.187534,-90.427864,1.9027352,0.70135725,0.06,0.12,3.1712253,10.0,622.0,,56
2511441,2511009,38.96968,-90.98569,2.1255996,0.667909,0.06,0.12,3.5426662,10.627998,417.0,,56
3599898,3599916,39.40591,-90.65359,2.7437649,0.5967688,0.06,0.12,4.5729413,13.718824,1529.0,,56
5915351,5915379,39.217495,-90.41297,2.1372676,0.666298,0.06,0.12,3.5621126,10.686337,1474.0,,56
2929913,2929877,39.142536,-90.80814,2.1012173,0.67131734,0.06,0.12,3.502029,10.506087,962.0,,56
3599924,3599938,39.401093,-90.60089,3.8941844,0.511348,0.055,0.11,6.4903073,30.0,1068.0,,56
3600040,3600048,39.38109,-90.51513,3.271323,0.552218,0.055,0.11,5.452205,30.0,1887.0,,56
3599926,3599938,39.400463,-90.5898,4.7125106,0.47007957,0.055,0.11,7.854184,30.0,2321.0,,56
3600088,3600932,39.372482,-90.48874,4.2886863,0.49003586,0.055,0.11,7.1478105,30.0,3203.0,,56
5915527,5915481,39.18646,-90.42368,4.6556697,0.47260296,0.055,0.11,7.7594495,30.0,1633.0,,56
2929745,2929743,39.18202,-90.76994,5.0161295,0.45730743,0.055,0.11,8.360216,30.0,96.0,,56
937110087,937110086,39.12998,-90.68273,2.7692096,0.5943434,0.06,0.12,4.6153493,13.846047,131.0,,56
937110051,937110086,39.135387,-90.68671,3.6203907,0.52806175,0.06,0.12,6.033984,18.101954,1394.0,,56
2512399,2511289,38.856144,-91.000374,5.7050304,0.43206716,0.055,0.11,9.508384,30.0,50.0,,56
2929859,2929857,39.151352,-90.813515,4.4110045,0.48399368,0.055,0.11,7.351674,30.0,296.0,,56
2512257,2511157,38.90621,-91.00471,9.321603,0.3479189,0.055,0.11,15.536004,50.0,1039.0,,56
2510977,2510991,38.994118,-90.938416,6.805224,0.39972746,0.055,0.11,11.34204,34.02612,1382.0,,56
3600140,3600932,39.36138,-90.4977,15.279259,0.27976695,0.05,0.1,25.465431,76.39629,959.0,,56
5915317,5915379,39.218384,-90.41894,20.296228,0.24682751,0.05,0.1,33.82705,101.48115,460.0,,56
2510979,2510991,38.9923,-90.9491,20.710152,0.24463882,0.05,0.1,34.51692,103.55076,2045.0,,56
3601240,3601038,39.413284,-90.61841,1.5023878,0.77839917,0.06,0.12,2.5039797,7.511939,533.0,,56
3601030,3601036,39.409317,-90.61515,65.008064,0.14769165,0.045,0.09,108.34678,325.04034,101.0,,56
2938449,2930639,39.182926,-90.71399,113.94151,0.115301445,0.045,0.09,189.90251,569.7076,395.0,,56
2930861,2930641,39.15599,-90.72096,3.7343874,0.52088845,0.06,0.12,6.223979,18.671936,1763.0,,56
2930941,2930831,39.13381,-90.71465,0.31398228,1.5529164,0.06,0.12,0.5233038,1.5699115,150.0,,56
2929909,2930933,39.139877,-90.70046,1.0110203,0.9270315,0.06,0.12,1.6850338,5.0551014,392.0,,56
2930945,2930833,39.132423,-90.70987,1.7672678,0.7245869,0.06,0.12,2.9454463,8.836339,162.0,,56
2930947,2930833,39.13175,-90.71032,0.5301118,1.2325287,0.06,0.12,0.88351965,2.650559,118.0,,56
2931027,2929961,39.12509,-90.70269,0.33087736,1.5174209,0.06,0.12,0.5514623,1.6543869,178.0,,56
2929979,2930819,39.119175,-90.67564,1.1771085,0.8668658,0.06,0.12,1.9618477,5.885543,161.0,,56
2929981,2930817,39.11845,-90.67603,0.29510972,1.595972,0.06,0.12,0.49184954,1.4755486,80.0,,56
2510985,2510983,38.98573,-90.97463,1.3994001,0.8031716,0.06,0.12,2.3323336,6.997,1658.0,,57
2510995,2510983,38.981262,-90.98054,2.292626,0.6459872,0.06,0.12,3.8210433,11.46313,3764.0,,57
2929807,2929745,39.173454,-90.79775,2.3907173,0.6341569,0.06,0.12,3.9845288,11.953587,5289.0,,57
2929861,2929859,39.158398,-90.82628,2.0250378,0.682344,0.06,0.12,3.3750627,10.125189,2663.0,,57
3599836,3601244,39.42198,-90.63892,2.5292394,0.6185927,0.06,0.12,4.215399,12.646196,4503.0,,57
