cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,FALSE,13,2927601,2927697,39.555542,-91.16103,112.84108,0.11579617,0.045,0.09,188.06847,564.2054,1059,136.8,1.00E-05,
FALSE,FALSE,14,2927697,2927689,39.54992,-91.15591,112.8418,0.11579585,0.045,0.09,188.06966,564.209,507,136.8,1.00E-05,
FALSE,FALSE,15,2927689,2927691,39.544155,-91.13615,112.842,0.115795754,0.045,0.09,188.07,564.21,3234,136.8,1.00E-05,
FALSE,FALSE,16,2927691,2927819,39.541542,-91.116714,112.842186,0.11579567,0.045,0.09,188.0703,564.21094,185,136.8,1.00E-05,
FALSE,FALSE,17,2927819,2927611,39.540184,-91.11005,112.84227,0.115795635,0.045,0.09,188.07045,564.21136,994,136.8,1.00E-05,
FALSE,FALSE,18,2927611,2927613,39.53827,-91.1001,112.842705,0.11579544,0.045,0.09,188.07117,564.2135,801,136.8,1.00E-05,
FALSE,FALSE,19,2927613,2927667,39.53512,-91.09631,112.84348,0.11579508,0.045,0.09,188.07246,564.2174,132,136.8,1.00E-05,
FALSE,FALSE,20,2927667,2927647,39.53365,-91.08439,112.8436,0.11579503,0.045,0.09,188.07266,564.218,2122,136.8,1.00E-05,
FALSE,FALSE,21,2927647,2927645,39.522472,-91.06984,112.84403,0.11579484,0.045,0.09,188.07338,564.22015,1784,136.8,1.00E-05,
FALSE,FALSE,22,2927645,2927615,39.510937,-91.067696,112.84406,0.11579482,0.045,0.09,188.07344,564.22034,816,136.8,1.00E-05,
FALSE,FALSE,23,2927615,2932155,39.503685,-91.06621,112.8443,0.11579472,0.045,0.09,188.07384,564.2215,849,136.8,1.00E-05,
FALSE,FALSE,24,2932155,2932159,39.497303,-91.06475,112.84433,0.1157947,0.045,0.09,188.07388,564.2216,632,136.8,1.00E-05,
FALSE,FALSE,25,2932159,2932231,39.49072,-91.063644,112.84477,0.1157945,0.045,0.09,188.07462,564.2239,889,136.8,1.00E-05,
FALSE,FALSE,26,2932231,2932165,39.48366,-91.0622,112.84481,0.11579449,0.045,0.09,188.07468,564.22406,729,136.8,1.00E-05,
FALSE,FALSE,27,2932165,2932209,39.479534,-91.06202,112.84483,0.11579447,0.045,0.09,188.07472,564.2241,196,136.8,1.00E-05,
FALSE,FALSE,28,2932209,2932171,39.475998,-91.06209,112.84486,0.115794465,0.045,0.09,188.07475,564.2243,603,136.8,1.00E-05,
FALSE,FALSE,29,2932171,2932173,39.470394,-91.059586,112.84496,0.11579441,0.045,0.09,188.07495,564.22485,780,136.8,1.00E-05,
FALSE,FALSE,30,2932173,2932177,39.456142,-91.0466,113.65192,0.11543097,0.045,0.09,189.41986,568.2596,3127,136.8,1.00E-05,
FALSE,FALSE,31,2932177,2932183,39.43984,-91.023865,113.66313,0.11542595,0.045,0.09,189.43855,568.3157,2275,136.8,1.00E-05,
FALSE,FALSE,32,2932183,2930505,39.429886,-91.006676,113.67612,0.115420125,0.045,0.09,189.4602,568.3806,1479,136.8,2.00E-05,
FALSE,FALSE,33,2930505,2931037,39.42493,-90.99863,113.67613,0.115420125,0.045,0.09,189.46022,568.3807,301,136.77,1.00E-05,
FALSE,FALSE,34,2931037,2930867,39.42141,-90.9902,113.67711,0.115419686,0.045,0.09,189.46184,568.38556,1334,136.77,1.00E-05,
FALSE,FALSE,35,2930867,2930511,39.41615,-90.97364,113.67742,0.115419544,0.045,0.09,189.46237,568.3871,1914,136.77,1.00E-05,
FALSE,FALSE,36,2930511,2930871,39.410473,-90.96404,113.67743,0.115419544,0.045,0.09,189.46239,568.38715,158,136.77,1.00E-05,
FALSE,FALSE,37,2930871,2930531,39.407368,-90.9481,113.677666,0.11541944,0.045,0.09,189.46277,568.3883,2817,136.77,1.00E-05,
FALSE,FALSE,38,2930531,2931035,39.39447,-90.93405,113.67771,0.11541942,0.045,0.09,189.46286,568.38855,1006,136.77,1.00E-05,
FALSE,FALSE,39,2931035,2930543,39.385834,-90.92387,113.681305,0.11541781,0.045,0.09,189.46884,568.40656,1745,136.77,0.0005,
FALSE,FALSE,40,2930543,2930875,39.382366,-90.913345,113.68148,0.11541773,0.045,0.09,189.46913,568.4074,242,135.9,1.00E-05,
FALSE,FALSE,41,2930875,2930553,39.38059,-90.909805,113.68754,0.115415014,0.045,0.09,189.47923,568.4377,485,135.9,0.00062,
