xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
10,19086167,19086167,0,25732010,-90.99944305419922,30.151275634765625,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,1458.0,0.03999999910593033,9.999999747378752e-06,0.0845739021897316,230.023193359375,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539966,0.07999999821186066,1150.115966796875,383.3719787597656
11,25732010,25732010,0,25732012,-91.01321411132812,30.134315490722656,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,3433.0,0.03999999910593033,9.999999747378752e-06,0.0845738872885704,230.0233154296875,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,675759,0.07999999821186066,1150.1165771484375,383.3721923828125
12,25732012,25732012,0,25732014,-91.03006744384766,30.12392234802246,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,672.0,0.03999999910593033,9.999999747378752e-06,0.08457387983798981,230.0233612060547,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,635423,0.07999999821186066,1150.1168212890625,383.3722839355469
13,25732014,25732014,0,19086169,-91.01729583740234,30.114299774169922,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,3385.0,0.03999999910593033,9.999999747378752e-06,0.08457385748624802,230.02349853515625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539971,0.07999999821186066,1150.1175537109375,383.37249755859375
14,19086169,19086169,0,19086175,-90.99908447265625,30.114103317260742,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,195.0,0.03999999910593033,9.999999747378752e-06,0.08457385748624802,230.0235137939453,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,666403,0.07999999821186066,1150.1175537109375,383.37249755859375
15,19086175,19086175,0,19086171,-90.97278594970703,30.10884666442871,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,5047.0,0.03999999910593033,9.999999747378752e-06,0.08457382768392563,230.023681640625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539975,0.07999999821186066,1150.118408203125,383.372802734375
16,19086171,19086171,0,19086177,-90.93991088867188,30.135997772216797,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6098.0,0.03999999910593033,9.999999747378752e-06,0.08457379788160324,230.0238494873047,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539977,0.07999999821186066,1150.1192626953125,383.3730773925781
17,19086177,19086177,0,19086181,-90.91178894042969,30.094728469848633,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6071.0,0.03999999910593033,9.999999747378752e-06,0.08457377552986145,230.0240020751953,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,666404,0.07999999821186066,1150.1199951171875,383.3733215332031
18,19086181,19086181,0,19086193,-90.8718490600586,30.063501358032227,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6136.0,0.03999999910593033,9.999999747378752e-06,0.08457374572753906,230.024169921875,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,677533,0.07999999821186066,1150.120849609375,383.37359619140625
19,19086193,19086193,0,19088125,-90.83623504638672,30.027402877807617,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6101.0,0.03999999910593033,9.999999747378752e-06,0.08457372337579727,230.02432250976562,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,681926,0.07999999821186066,1150.12158203125,383.3738708496094
