Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                1                0                    20.29       0.00       1.83 
 1                1                0                    20.27       0.00       1.83 
 1                1                0                    20.26       0.00       1.83 
 1                1                0                    20.24       0.00       1.83 
 1                1                0                    20.22       0.00       1.83 
 1                1                0                    20.21       0.00       1.83 
 1                1                0                    20.19       0.00       1.83 
 1                1                0                    20.18       0.00       1.83 
 1                1                0                    20.17       0.00       1.83 
 1                1                0                    20.16       0.00       1.83 
 1                1                0                    20.14       0.00       1.83 
 1                1                0                    20.13       0.00       1.82 
 1                1                0                    20.13       0.00       1.82 
 1                1                0                    20.12       0.00       1.82 
 1                1                0                    20.11       0.00       1.82 
 1                1                0                    20.10       0.00       1.82 
 1                1                0                    20.09       0.00       1.82 
 1                1                0                    20.09       0.00       1.82 
 1                1                0                    20.08       0.00       1.82 
 1                1                0                    20.08       0.00       1.82 
 1                1                0                    20.07       0.00       1.82 
 1                1                0                    20.07       0.00       1.82 
 1                1                0                    20.06       0.00       1.82 
 1                1                0                    20.06       0.00       1.82 
 1                1                0                    20.05       0.00       1.82 
 1                1                0                    20.05       0.00       1.82 
 1                1                0                    20.05       0.00       1.82 
 1                1                0                    20.04       0.00       1.82 
 1                1                0                    20.04       0.00       1.82 
 1                1                0                    20.04       0.00       1.82 
 1                1                0                    20.03       0.00       1.82 
 1                1                0                    20.03       0.00       1.82 
 1                1                0                    20.03       0.00       1.82 
 1                1                0                    20.03       0.00       1.82 
 1                1                0                    20.03       0.00       1.82 
 1                1                0                    20.02       0.00       1.82 
 1                1                0                    20.02       0.00       1.82 
 1                1                0                    20.02       0.00       1.82 
 1                1                0                    20.02       0.00       1.82 
 1                1                0                    20.02       0.00       1.82 
 1                1                0                    20.02       0.00       1.82 
 1                1                0                    20.02       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
                                                                                    
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.00       0.50       2.32 
 1                1                5000.00*             20.01       0.50       2.32 
 1                1                5000.00*             20.11       0.50       2.32 
 1                1                5000.00*             20.28       0.50       2.32 
 1                1                5000.00*             20.51       0.50       2.33 
 1                1                5000.00*             20.80       0.50       2.34 
 1                1                5000.00*             21.14       0.50       2.35 
 1                1                5000.00*             21.47       0.50       2.36 
 1                1                5000.00*             21.65       0.50       2.37 
 1                1                5000.00*             21.73       0.50       2.38 
 1                1                5000.00*             21.72       0.50       2.38 
 1                1                5000.00*             21.64       0.50       2.39 
 1                1                5000.00*             21.50       0.50       2.39 
 1                1                5000.00*             21.32       0.50       2.39 
 1                1                5000.00*             21.19       0.50       2.39 
 1                1                5000.00*             21.08       0.50       2.38 
 1                1                5000.00*             20.99       0.50       2.38 
 1                1                5000.00*             20.91       0.50       2.38 
 1                1                5000.00*             20.84       0.50       2.38 
 1                1                5000.00*             20.78       0.50       2.37 
 1                1                5000.00*             20.72       0.50       2.37 
 1                1                5000.00*             20.67       0.50       2.37 
 1                1                5000.00*             20.62       0.50       2.36 
 1                1                5000.00*             20.58       0.50       2.36 
 1                1                5000.00*             20.54       0.50       2.36 
 1                1                5000.00*             20.50       0.50       2.36 
 1                1                5000.00*             20.46       0.50       2.35 
