29.05.2011,44.08,1370000,13.43492838,38794.08039
30.05.2011,43.97,1370000,13.40140201,38794.08039
31.05.2011,43.85,1360000,13.3648278,38510.91192
1.06.2011,43.66,1360000,13.30691862,38510.91192
2.06.2011,43.38,1350000,13.22157879,38227.74345
3.06.2011,43,1330000,13.10576044,37661.40651
4.06.2011,42.67,1310000,13.00518135,37095.06957
5.06.2011,42.14,1290000,12.84364523,36528.73263
6.06.2011,41.6,1260000,12.67906126,35679.22722
7.06.2011,41.15,1240000,12.54190795,35112.89028
8.06.2011,40.76,1220000,12.42304176,34546.55334
9.06.2011,40.46,1210000,12.33160622,34263.38487
10.06.2011,40.11,1190000,12.22493142,33697.04793
11.06.2011,39.79,1180000,12.12740018,33413.87946
12.06.2011,39.35,1160000,11.99329473,32847.54252
13.06.2011,39.03,1140000,11.89576349,32281.20558
14.06.2011,38.56,1120000,11.75251448,31714.86864
15.06.2011,37.86,1100000,11.53916489,31148.5317
16.06.2011,37.45,1080000,11.41420299,30582.19476
17.06.2011,36.98,1060000,11.27095398,30015.85782
18.06.2011,36.35,1030000,11.07893935,29166.35241
19.06.2011,35.72,1010000,10.88692472,28600.01547
20.06.2011,35.08,979000,10.69186224,27722.19321
21.06.2011,34.63,955000,10.55470893,27042.58889
22.06.2011,34.03,932000,10.37183785,26391.3014
23.06.2011,33.21,903000,10.12191405,25570.11284
24.06.2011,32.52,871000,9.911612313,24663.97374
25.06.2011,31.78,840000,9.68607132,23786.15148
26.06.2011,31.07,810000,9.46967388,22936.64607
27.06.2011,30.55,785000,9.311185614,22228.7249
28.06.2011,30.14,766000,9.186223712,21690.7048
29.06.2011,29.86,752000,9.100883877,21294.26894
30.06.2011,29.66,743000,9.039926852,21039.41732
1.07.2011,29.47,736000,8.982017678,20841.19939
2.07.2011,29.25,730000,8.91496495,20671.29831
3.07.2011,29.18,724000,8.893629991,20501.39723
4.07.2011,29.02,719000,8.844864371,20359.81299
5.07.2011,29,716000,8.838768668,20274.86245
6.07.2011,29.11,722000,8.872295032,20444.76353
7.07.2011,29.19,723000,8.896677842,20473.08038
8.07.2011,29.17,722000,8.89058214,20444.76353
9.07.2011,29.16,722000,8.887534288,20444.76353
10.07.2011,29.19,723000,8.896677842,20473.08038
11.07.2011,29.14,721000,8.881438586,20416.44669
12.07.2011,29.09,719000,8.866199329,20359.81299
13.07.2011,28.97,716000,8.829625114,20274.86245
14.07.2011,28.81,710000,8.780859494,20104.96137
15.07.2011,28.56,702000,8.704663212,19878.42659
16.07.2011,28.28,692000,8.619323377,19595.25812
17.07.2011,27.93,682000,8.512648583,19312.08965
18.07.2011,27.69,674000,8.439500152,19085.55488
19.07.2011,27.42,668000,8.357208168,18915.6538
20.07.2011,26.91,659000,8.201767754,18660.80217
21.07.2011,26.28,647000,8.009753124,18321.00001
22.07.2011,25.77,635000,7.85431271,17981.19785
23.07.2011,25.04,621000,7.631819567,17584.76199
24.07.2011,24.12,604000,7.351417251,17103.37559
25.07.2011,23.2,584000,7.071014934,16537.03865
26.07.2011,22.7,568000,6.918622371,16083.9691
27.07.2011,22.38,560000,6.821091131,15857.43432
28.07.2011,21.81,550000,6.647363609,15574.26585
29.07.2011,21.06,537000,6.418774764,15206.14684
30.07.2011,20.07,517000,6.117037489,14639.8099
31.07.2011,19.22,498000,5.857970131,14101.78981
1.08.2011,18.64,482000,5.681194758,13648.72025
2.08.2011,18.16,471000,5.534897897,13337.23494
3.08.2011,17.82,462000,5.431270954,13082.38331
4.08.2011,17.74,458000,5.406888144,12969.11593
5.08.2011,17.69,457000,5.391648888,12940.79908
6.08.2011,17.49,453000,5.330691862,12827.53169
7.08.2011,17.3,449000,5.272782688,12714.2643
8.08.2011,17.11,445000,5.214873514,12600.99692
9.08.2011,16.85,440000,5.135629381,12459.41268
10.08.2011,16.72,436000,5.096007315,12346.14529
11.08.2011,16.62,434000,5.065528802,12289.5116
12.08.2011,16.61,433000,5.062480951,12261.19475
13.08.2011,16.64,434000,5.071624505,12289.5116
14.08.2011,16.72,436000,5.096007315,12346.14529
