,cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt - m,So,laterals / gages,nodes,RM
70,FALSE,FALSE,72,22798749,22799321,29.867401,-89.92515,230.0309,0.08457266,0.04,0.08,383.38483,1150.1544,5861.25,3.09,8.00E-05,,350541,88.43735239
71,FALSE,FALSE,72,22798749,22799321,29.867401,-89.92515,230.0309,0.08457266,0.04,0.08,383.38483,1150.1544,5861.25,3.09,8.00E-05,Caernarvon (RM 85),356402.25,84.79456184
72,FALSE,FALSE,72,22798749,22799321,29.867401,-89.92515,230.0309,0.08457266,0.04,0.08,383.38483,1150.1544,5861.25,3.09,8.00E-05,Belle Chasse (RM 84),362263.5,81.15177129
73,FALSE,FALSE,72,22798749,22799321,29.867401,-89.92515,230.0309,0.08457266,0.04,0.08,383.38483,1150.1544,5861.25,3.09,8.00E-05,,368124.75,77.50898073
74,FALSE,FALSE,73,22799321,22798751,29.77646,-90.02178,230.03117,0.08457261,0.04,0.08,383.38528,1150.1559,5596.5,1.11,1.00E-05,,373986,73.86619018
75,FALSE,FALSE,73,22799321,22798751,29.77646,-90.02178,230.03117,0.08457261,0.04,0.08,383.38528,1150.1559,5596.5,1.11,1.00E-05,,379582.5,70.38794282
76,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,Naomi (RM 67),385179,66.90969546
77,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,,390291.5,63.73225606
78,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,,395404,60.55481666
79,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,Bohemia Spillway (RM 57),400516.5,57.37737725
80,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,,405629,54.19993785
81,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,,410741.5,51.02249845
82,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,,415854,47.84505904
83,FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,5112.5,1.11,1.00E-05,West Point a la Hache (RM 49),420966.5,44.66761964
84,FALSE,FALSE,75,22811925,22811923,29.486372,-89.6938,230.03232,0.08457243,0.04,0.08,383.3872,1150.1616,3607,0.97,6.00E-05,,426079,41.49018024
85,FALSE,FALSE,76,22811923,22814447,29.45246,-89.61032,230.03302,0.08457231,0.04,0.08,383.38837,1150.1652,7825,0.75,1.00E-05,,429686,39.24841516
86,FALSE,FALSE,76,22811923,22814447,29.45246,-89.61032,230.03302,0.08457231,0.04,0.08,383.38837,1150.1652,7825,0.75,1.00E-05,,437511,34.38514605
87,FALSE,FALSE,77,22814447,22814637,29.37117,-89.55871,230.03319,0.084572285,0.04,0.08,383.38867,1150.166,6314,0.75,1.00E-05,,445336,29.52187694
88,FALSE,FALSE,78,22814637,22811921,29.34815,-89.49672,230.03339,0.084572256,0.04,0.08,383.38898,1150.1669,7031,0.75,1.00E-05,,451650,25.59770044
89,FALSE,FALSE,79,22811921,22811951,29.358694,-89.4349,230.0336,0.08457222,0.04,0.08,383.38934,1150.1681,7023,0.75,1.00E-05,,458681,21.22790553
90,FALSE,FALSE,80,22811951,22812021,29.316448,-89.37937,230.03381,0.08457218,0.04,0.08,383.38968,1150.1691,7594,0.75,1.00E-05,,465704,16.86308266
91,FALSE,FALSE,81,22812021,22812037,29.282932,-89.3537,230.03384,0.08457218,0.04,0.08,383.38974,1150.1692,1307,0.75,1.00E-05,,473298,12.14338098
92,FALSE,FALSE,82,22812037,22812035,29.25236,-89.31693,230.0341,0.08457214,0.04,0.08,383.3902,1150.1705,8673,0.75,3.00E-05,,474605,11.3310752
93,FALSE,FALSE,83,22812035,22812041,29.206934,-89.28173,230.03424,0.084572114,0.04,0.08,383.39038,1150.1711,3526,0.52,1.00E-05,,483278,5.940770665
94,FALSE,FALSE,84,22812041,22811543,29.177265,-89.263626,230.03438,0.08457209,0.04,0.08,383.39062,1150.1719,3970,0.52,2.00E-05,Head of Passes (RM 0),486804,3.749347421
