link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
19085541,19085299,30.50957,-91.23239,1.6805121,0.7408579,0.06,0.12,2.8008535,8.40256,677.0,,10
19085551,19085555,30.57824,-91.26422,1.522573,0.7738295,0.06,0.12,2.5376217,7.612865,171.0,,10
19085495,19085501,30.587404,-91.31333,1.5275389,0.77271867,0.06,0.12,2.5458982,7.6376944,609.0,,10
19053444,19053446,30.59903,-91.21527,5.5631595,0.43689406,0.06,0.12,9.271933,27.815798,4916.0,,10
19053450,19053446,30.58115,-91.20669,2.5261357,0.6189279,0.06,0.12,4.210226,12.630678,2805.0,,10
19085497,19085501,30.600718,-91.31214,230.01373,0.08457544,0.04,0.08,383.35623,1150.0686,3439.0,,10
19085553,19085555,30.586985,-91.270905,4.81722,0.46554396,0.055,0.11,8.028701,30.0,2392.0,,10
19085293,19085499,30.58359,-91.27435,3.0468287,0.56981266,0.06,0.12,5.0780478,15.234143,1587.0,,10
19053408,19053444,30.622513,-91.214645,2.1462576,0.66506517,0.06,0.12,3.5770962,10.731289,2029.0,,11
19085291,19085551,30.580656,-91.262245,1.5011086,0.77869177,0.06,0.12,2.5018477,7.505543,583.0,,11
19085489,19085495,30.588089,-91.31043,1.3607184,0.8131657,0.06,0.12,2.267864,6.8035917,23.0,,11
19053406,19053444,30.614527,-91.21028,5.215336,0.44951728,0.06,0.12,8.692226,26.076677,177.0,,11
19053738,19085553,30.596447,-91.27743,4.717276,0.46987,0.055,0.11,7.862127,30.0,166.0,,11
19085485,19085497,30.631887,-91.29339,230.01352,0.084575474,0.04,0.08,383.35587,1150.0676,4607.0,,11
19085549,19085553,30.601118,-91.285,1.4272218,0.7962262,0.06,0.12,2.378703,7.136109,1779.0,,11
19088331,19085293,30.584803,-91.28276,2.374881,0.63601905,0.06,0.12,3.958135,11.874405,270.0,,11
19053410,19053406,30.616552,-91.2006,1.9638349,0.6916453,0.06,0.12,3.2730582,9.819175,2183.0,,12
19085535,19085291,30.583824,-91.26211,1.0847288,0.89869344,0.06,0.12,1.8078815,5.423644,191.0,,12
19085289,19085489,30.585281,-91.30954,1.3607184,0.8131657,0.06,0.12,2.267864,6.8035917,689.0,,12
