xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth,trapDepth,my_id,Locs,hecLoc,elevs,#VALUE!,,
27,19086179,19086179,FALSE,19086195,-90.51493073,30.04986572,3.579999924,10,0,3600,0.200000003,6117,0.039999999,1.00E-05,0.084573522,230.0255432,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539995,0.079999998,1150.127686,383.375885,12.96937854,24,146862,102775,1.027749974,11.8375997,,
28,19086195,19086195,FALSE,22795715,-90.47370911,30.03154564,3.579999924,10,0,3600,0.200000003,4874,0.039999999,1.00E-05,0.084573485,230.0257874,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,679133,0.079999998,1150.128906,383.3763123,12.96938831,25,152979,96658,0.966579976,10.80984973,,
29,22795715,22795715,FALSE,22799299,-90.47257996,30.00410843,3.579999924,10,0,3600,0.200000003,1224,0.039999999,1.00E-05,0.084573478,230.0258179,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,608198,0.079999998,1150.12915,383.3763733,12.96938975,26,157853,91784,0.917839977,9.843269751,,
30,22799299,22799299,FALSE,22799303,-90.46064758,29.9976387,3.579999924,10,0,3600,0.200000003,1602,0.039999999,1.00E-05,0.08457347,230.0258636,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585015,0.079999998,1150.129272,383.3764343,12.9693899,27,159077,90560,0.905599977,8.925429775,,
31,22799303,22799303,FALSE,22799305,-90.40877533,29.99085236,3.579999924,10,0,3600,0.200000003,9044,0.039999999,1.00E-05,0.084573425,230.0261383,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,608200,0.079999998,1150.130737,383.3768921,12.96939853,28,160679,88958,0.889579978,8.019829797,,Bonnet Carre
32,22799305,22799305,FALSE,22799307,-90.27140045,29.96886063,3.579999924,10,0,3600,0.200000003,27760,0.039999999,1.00E-05,0.084573306,230.026886,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,673789,0.079999998,1150.134399,383.3781433,12.96942283,29,169723,79914,0.79913998,7.13024982,,davis pond
33,22799307,22799307,FALSE,22799309,-90.13834381,29.92144585,3.579999924,10,0,3600,0.200000003,12374,0.039999999,1.00E-05,0.084573254,230.0272064,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,655218,0.079999998,1150.135986,383.3786621,12.96943161,30,197483,52154,0.521539987,6.33110984,,
34,22799309,22799309,FALSE,22814383,-90.05783844,29.94387245,3.579999924,10,0,3600,0.200000003,8968,0.039999999,3.00E-05,0.084573224,230.0273895,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,540001,0.079999998,1150.136963,383.3789673,12.96943737,31,209857,39780,1.19339997,5.809569853,,
35,22814383,22814383,FALSE,22814607,-90.01398468,29.94669724,3.349999905,10,0,3600,0.200000003,3251,0.039999999,8.00E-05,0.08457312,230.0280304,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,655219,0.079999998,1150.140137,383.3800354,12.9694575,32,218825,30812,2.464959938,4.616169883,,
36,22814607,22814607,FALSE,22798749,-89.98153687,29.92894936,3.089999914,10,0,3600,0.200000003,4116,0.039999999,1.00E-05,0.084573105,230.0281372,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585018,0.079999998,1150.140625,383.3802185,12.96946167,33,222076,27561,0.275609993,2.151209946,,
37,22798749,22798749,FALSE,22799321,-89.92514801,29.86740112,3.089999914,10,0,3600,0.200000003,23445,0.039999999,8.00E-05,0.084572658,230.030899,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,669173,0.079999998,1150.154419,383.3848267,12.96954926,34,226192,23445,1.875599953,1.875599953,,Caernarvon
,,,,,,,,,,,,,,,,,,,,,,,,,,,249637,0,,0,,
