Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 05  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                2                21000.0*         20.515210   2.100072   4.876191 
 1                2                21000.0*         20.480630   2.100072   4.873752 
 1                2                21000.0*         20.447150   2.100072   4.871009 
 1                2                21000.0*         20.414220   2.100072   4.868570 
 1                2                21000.0*         20.383290   2.100072   4.866437 
 1                2                21000.0*         20.355960   2.100072   4.864303 
 1                2                21000.0*         20.332490   2.100072   4.862474 
 1                2                21000.0*         20.312060   2.100072   4.860341 
 1                2                21000.0*         20.293800   2.100072   4.858817 
 1                2                21000.0*         20.277290   2.100072   4.856988 
 1                2                21000.0*         20.262210   2.100072   4.855464 
 1                2                21000.0*         20.248400   2.100072   4.853940 
 1                2                21000.0*         20.235640   2.100072   4.852416 
 1                2                21000.0*         20.223780   2.100072   4.851197 
 1                2                21000.0*         20.212710   2.100072   4.849977 
 1                2                21000.0*         20.202350   2.100072   4.848758 
 1                2                21000.0*         20.192660   2.100072   4.847539 
 1                2                21000.0*         20.183540   2.100072   4.846320 
 1                2                21000.0*         20.174990   2.100072   4.845406 
 1                2                21000.0*         20.166920   2.100072   4.844491 
 1                2                21000.0*         20.159300   2.100072   4.843272 
 1                2                21000.0*         20.152110   2.100072   4.842358 
 1                2                21000.0*         20.145300   2.100072   4.841443 
 1                2                21000.0*         20.138840   2.100072   4.840834 
 1                2                21000.0*         20.132680   2.100072   4.839919 
 1                2                21000.0*         20.126820   2.100072   4.839005 
 1                2                21000.0*         20.121230   2.100072   4.838395 
 1                2                21000.0*         20.115920   2.100072   4.837786 
 1                2                21000.0*         20.110860   2.100072   4.836872 
 1                2                21000.0*         20.106040   2.100072   4.836262 
 1                2                21000.0*         20.101440   2.100072   4.835652 
 1                2                21000.0*         20.097040   2.100072   4.835042 
 1                2                21000.0*         20.092850   2.100072   4.834738 
 1                2                21000.0*         20.088830   2.100072   4.834128 
 1                2                21000.0*         20.085000   2.100072   4.833519 
 1                2                21000.0*         20.081340   2.100072   4.832909 
 1                2                21000.0*         20.077840   2.100072   4.832604 
 1                2                21000.0*         20.074500   2.100072   4.831995 
 1                2                21000.0*         20.071290   2.100072   4.831690 
 1                2                21000.0*         20.068230   2.100072   4.831385 
 1                2                21000.0*         20.065300   2.100072   4.830775 
 1                2                21000.0*         20.062500   2.100072   4.830471 
 1                2                21000.0*         20.059820   2.100072   4.830166 
 1                2                21000.0*         20.057250   2.100072   4.829861 
 1                2                21000.0*         20.054800   2.100072   4.829556 
 1                2                21000.0*         20.052450   2.100072   4.829251 
 1                2                21000.0*         20.050200   2.100072   4.828947 
 1                2                21000.0*         20.048050   2.100072   4.828642 
 1                2                21000.0*         20.045990   2.100072   4.828337 
 1                2                21000.0*         20.044030   2.100072   4.828032 
 1                2                21000.0*         20.042140   2.100072   4.827727 
 1                2                21000.0*         20.040330   2.100072   4.827423 
 1                2                21000.0*         20.038610   2.100072   4.827117 
 1                2                21000.0*         20.036950   2.100072   4.827117 
 1                2                21000.0*         20.035370   2.100072   4.826813 
 1                2                21000.0*         20.033850   2.100072   4.826508 
 1                2                21000.0*         20.032410   2.100072   4.826508 
 1                2                21000.0*         20.031020   2.100072   4.826203 
 1                2                21000.0*         20.029690   2.100072   4.825899 
 1                2                21000.0*         20.028430   2.100072   4.825899 
 1                2                21000.0*         20.027210   2.100072   4.825593 
 1                2                21000.0*         20.026040   2.100072   4.825593 
 1                2                21000.0*         20.024920   2.100072   4.825289 
 1                2                21000.0*         20.023850   2.100072   4.825289 
 1                2                21000.0*         20.022830   2.100072   4.824984 
 1                2                21000.0*         20.021850   2.100072   4.824984 
 1                2                21000.0*         20.020920   2.100072   4.824679 
 1                2                21000.0*         20.020020   2.100072   4.824679 
 1                2                21000.0*         20.019170   2.100072   4.824679 
